id;code;numero_registre_commerce;nif;nis;num_art_imposition;raison_sociale;telephone;fax;email
1;New Mexico;mindshare Cotton compress;neural Rubber system engine;Costa Rica;relationships repurpose Philippine Peso;digital Credit Card Account fresh-thinking;472.202.3460;mobile Oregon integrated;Lionel.Blanda42@yahoo.com
2;emulation Organic;JBOD black HDD;Danish Krone Practical;tertiary;digital schemas;Senior;(198) 116-9657;Inlet Configuration Savings Account;Felicita.Rodriguez@gmail.com
3;Handcrafted Soft Soap Soft;USB Row success;Clothing;real-time Up-sized Station;Ecuador Steel;Tennessee application;062-408-0676;Agent;Fabiola_Schumm@yahoo.com
4;purple Electronics;web-readiness Reverse-engineered;COM Intelligent Frozen Cheese Forward;matrix dot-com quantifying;engineer Centralized Fish;Director withdrawal web services;942.886.4056 x360;Car azure;Arno.Leannon27@gmail.com
5;Jewelery;deposit;disintermediate Borders;Tuna optical;Shirt Cambridgeshire firewall;wireless;249.206.0861;input invoice indexing;Marvin.Runte92@hotmail.com
6;non-volatile;Towels web-enabled;Leone Zambia experiences;invoice;calculate;action-items SSL Shoal;205-521-5855;deliverables reintermediate;Delia.Oberbrunner26@yahoo.com
7;Gold;Cotton Avon Forint;Planner firewall;Plastic auxiliary Connecticut;Timor-Leste;Investment Account monitor;153.608.6635 x85428;platforms index non-volatile;Jovan_OConner31@yahoo.com
8;Towels;haptic;olive cohesive Bike;quantifying;Quality;Agent encryption Fantastic Rubber Bike;241.455.3553 x87916;Salad payment;Maximus47@yahoo.com
9;Cambridgeshire payment Sharable;navigate Awesome streamline;infrastructures monitor engage;Music;Jamaican Dollar Hawaii;Wooden;462-430-0480;Fish Rand;Sydnie.Klein98@hotmail.com
10;adapter Armenian Dram;Computers Shoes;e-tailers Factors;compress Product multi-byte;back up Hawaii hack;Associate Quality Car;640-487-8428 x1133;Checking Account Money Market Account Health;Asa.Jacobson@yahoo.com
